"","Common Bulbul","Blue Monkey","Blackcap","Red-tailed Monkey","Violet-backed Starling","Willow Warbler","African Thrush","Yellow-whisk. Greenbul","African Yellow White-eye","Bl.-a.-wh. Casq. Hornbill","Yellow-spottet Barbet","East. bl.-a.-wh. Colobus","Yellow-rump. Tinkerbird","Joyful Greenbul","Grey-throated Barbet","Shelley's Greenbul","Forest Weaver","Toro Olive Greenbul","Plain Greenbul","Red-legg. Sun Squirrel","Dusky Tit","Uganda Wood-Warbler","Cabani's Greenbul","Yellow-billed Barbet","Slender-billed Greenbul","African Citril","Buff-throated Apalis","Honeyguide Greenbul","East. Olivaceous Warbler","Little Greenbul","Yellow-fronted Canary","Ross's Turaco","Speckled Mousebird","Olive Baboon","Grey-head. Negrofinch","Tambourine Dove","Hairy-breasted Barbet","African Green Pigeon","Olive Thrush","Common Bristlebill","W. Black-head. Oriole","Wood Warbler","Black Cuckoo","Garden Warbler","Vieillot's Weaver","Brown-chested Alethe","Turners Eremomela","Ansorge's Greenbul","Black-crowned Waxbill","Wh.-breast. Negrofinch","African Blue Flycatcher","Black-lored Babbler","Black-headed Weaver","Brown-capped Weaver","Chestnut Wattle-eye","Brown-throat. Wattle-eye","Spectacled Weaver","Afr. Parad. Flycatcher","African Penduline Tit","Beglafecht Weaver","Bl.-fac. Rufous Warbler","Black-necked Weaver","Blue-headed Coucal","Crowned Hornbill","Double-toothed Barbet","Grey-winged Robin","Lemon Dove","L¨¹hder's Bush-Shrike","Red-headed Bluebill","Common Redstart","Scarlet-chested Sunbird","White-bellied Canary","White-bellied Tit","White-chinned Prinia","African Golden Oriole","Amethyst Sunbird","Banded Prinia","Black Cuckoo-Shrike","Cassin's Honeyguide","Fork-tailed Drongo","Greater Whitethroat","Green Hylia","Green-headed Sunbird","Eastern Olive Sunbird","Red-headed Malimbe","Snowy-crown. Robin-Chat","White-brow. Robin-Chat","Yellow-throat. Greenbul"
"Fi.lu",128,19,64,11,1,30,94,21,69,24,26,0,9,15,4,28,3,10,6,0,3,3,0,6,3,14,3,1,1,7,0,2,0,0,0,1,2,2,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"Fi.th",110,35,23,19,0,39,11,33,1,61,59,5,3,12,19,1,1,4,5,3,9,1,0,5,6,0,2,4,5,0,0,0,0,9,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pr.af",70,2,3,0,190,82,15,0,0,0,0,1,1,1,0,0,0,0,3,0,0,4,0,0,3,0,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Br.mi",54,20,37,24,3,0,25,21,22,18,13,15,18,22,9,2,2,8,1,3,0,0,3,3,3,0,0,7,1,0,2,2,0,0,0,3,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fi.su",30,28,8,52,0,3,1,9,6,2,10,50,6,2,1,1,5,0,7,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ma.bu",27,36,9,29,0,4,0,6,3,12,0,12,0,4,1,2,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"An.to",62,16,8,9,0,12,0,1,2,2,0,11,0,0,0,3,4,0,2,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bl.un",4,1,7,8,0,0,0,15,5,12,13,15,5,6,11,2,11,0,0,4,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mo.me",5,27,2,46,0,0,0,7,0,2,0,9,0,2,0,0,0,0,2,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tr.ma",0,67,0,22,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
